Frame,BodyID,PointID,X_mm,Y_mm,Z_mm,ShoulderOpening_deg,ShoulderInclination_deg,Elbow_deg
1,0,0,0.0,0.0,0.0,65.34,66.81,78.07
1,0,1,-2.08,141.93,-9.25,65.34,66.81,78.07
1,0,2,-4.66,283.85,-18.7,65.34,66.81,78.07
1,0,3,-7.24,425.76,-28.15,65.34,66.81,78.07
1,0,4,23.68,428.66,-4.76,65.34,66.81,78.07
1,0,5,113.83,434.85,63.56,65.34,66.81,78.07
1,0,6,48.99,230.69,110.34,65.34,66.81,78.07
1,0,7,-10.68,32.82,151.97,65.34,66.81,78.07
1,0,8,-22.61,-6.75,160.29,65.34,66.81,78.07
1,0,9,-46.48,-85.9,176.94,65.34,66.81,78.07
1,0,10,-72.86,-41.65,135.9,65.34,66.81,78.07
1,0,11,-38.18,424.41,-51.64,65.34,66.81,78.07
1,0,12,-128.34,418.22,-119.96,65.34,66.81,78.07
1,0,13,-254.62,259.83,-36.08,65.34,66.81,78.07
1,0,14,-206.86,461.85,0.7,65.34,66.81,78.07
1,0,15,-197.31,502.25,8.06,65.34,66.81,78.07
1,0,16,-178.2,583.06,22.77,65.34,66.81,78.07
1,0,17,-149.67,528.18,45.43,65.34,66.81,78.07
1,0,18,79.04,3.44,35.01,65.34,66.81,78.07
1,0,19,81.7,-445.77,61.54,65.34,66.81,78.07
1,0,20,89.41,-845.53,73.1,65.34,66.81,78.07
1,0,21,42.62,-943.24,185.64,65.34,66.81,78.07
1,0,22,-79.04,-3.44,-35.01,65.34,66.81,78.07
1,0,23,-76.38,-452.65,-8.49,65.34,66.81,78.07
1,0,24,-68.67,-852.41,3.08,65.34,66.81,78.07
1,0,25,-115.45,-950.11,115.61,65.34,66.81,78.07
1,0,26,-95.44,525.69,43.56,65.34,66.81,78.07
1,0,27,-110.91,567.49,53.72,65.34,66.81,78.07
1,0,28,-82.26,611.49,60.28,65.34,66.81,78.07
1,0,29,15.65,630.52,36.46,65.34,66.81,78.07
1,0,30,-119.43,607.49,20.14,65.34,66.81,78.07
1,0,31,-89.67,619.19,-77.3,65.34,66.81,78.07
1,0,32,107.57,-946.21,39.44,65.34,66.81,78.07
1,0,33,-50.51,-953.09,-30.58,65.34,66.81,78.07
2,0,0,0.0,0.0,0.0,64.97,65.76,76.54
2,0,1,-1.82,142.56,-5.55,64.97,65.76,76.54
2,0,2,-4.06,285.12,-11.28,64.97,65.76,76.54
2,0,3,-6.3,427.67,-17.0,64.97,65.76,76.54
2,0,4,24.48,429.89,6.84,64.97,65.76,76.54
2,0,5,114.04,434.08,76.27,64.97,65.76,76.54
2,0,6,46.67,229.78,119.87,64.97,65.76,76.54
2,0,7,-15.42,31.79,158.45,64.97,65.76,76.54
2,0,8,-27.83,-7.81,166.17,64.97,65.76,76.54
2,0,9,-52.67,-87.0,181.6,64.97,65.76,76.54
2,0,10,-78.21,-41.95,140.79,64.97,65.76,76.54
2,0,11,-37.1,427.0,-40.9,64.97,65.76,76.54
2,0,12,-126.66,422.81,-110.33,64.97,65.76,76.54
2,0,13,-254.21,263.03,-30.46,64.97,65.76,76.54
2,0,14,-206.61,466.24,0.89,64.97,65.76,76.54
2,0,15,-197.09,506.88,7.16,64.97,65.76,76.54
2,0,16,-178.05,588.16,19.7,64.97,65.76,76.54
2,0,17,-150.61,533.95,45.3,64.97,65.76,76.54
2,0,18,78.6,2.41,36.15,64.97,65.76,76.54
2,0,19,81.44,-447.26,53.22,64.97,65.76,76.54
